Data_Hora,Id_Tweet,Tweet,Candidato,Tweet_limpo
2022-08-01 22:42:06+00:00,1554236056161189889,@MarceloFreixo @LulaOficial Virada? Mas o larápio não está liderando as pesquisas com sobra e vai ganhar no primeiro turno?,Lula,  virada? mas o larápio não está liderando as pesquisas com sobra e vai ganhar no primeiro turno?
2022-08-01 22:42:03+00:00,1554236042680700928,"@LulaOficial Com a palavra, o ex-presidente da #EsquerdaNuncaMais https://t.co/diKAXdB70Q",Lula," com a palavra, o ex-presidente da  "
2022-08-01 22:42:02+00:00,1554236039782453252,"@revistaforum Pegue os 600,00. Gaste. E vote em Lula.",Lula," pegue os 600,00. gaste. e vote em lula."
2022-08-01 22:42:02+00:00,1554236039522312193,"depois de 8 meses no grupo do antigo prédio em q eu morava agindo como se eu ainda morasse lá me baniram do grupo do zap

todos os dias prendem um Lula",Lula,depois de 8 meses no grupo do antigo prédio em q eu morava agindo como se eu ainda morasse lá me baniram do grupo do zaptodos os dias prendem um lula
2022-08-01 22:42:01+00:00,1554236034459865091,"@BlogdoNoblat 20 mil tontos e 1 o velho Noblat!  Vou resumir a eleição, Lula perde e encerra sua história maligna na política, estressado pelos dias que antecedem a eleição, passa mal e o capeta recebe de braços abertos! Vai ser festa igual a copa do mundo! O Brasil se livra do mal!",Lula," 20 mil tontos e 1 o velho noblat!  vou resumir a eleição, lula perde e encerra sua história maligna na política, estressado pelos dias que antecedem a eleição, passa mal e o capeta recebe de braços abertos! vai ser festa igual a copa do mundo! o brasil se livra do mal!"
2022-08-01 22:42:01+00:00,1554236032865935361,"O estudante que comprovar renda familiar bruta de até 1,5 salário mínimo por pessoa pode ter bolsa integral; saiba mais sobre o programa criado no primeiro mandato do presidente Lula https://t.co/vYxHzLYH5V 
#Resistencia1578Dias #LulaNo1ºTurno
Siga nosso Instagram @DilmaResiste",Lula,"o estudante que comprovar renda familiar bruta de até 1,5 salário mínimo por pessoa pode ter bolsa integral; saiba mais sobre o programa criado no primeiro mandato do presidente lula    nosso instagram "
2022-08-01 22:41:57+00:00,1554236019024732160,@heldersalomao O povo precisa ser incluído no orçamento! Onde há justiça social não há necessidade de 'esmola'. Voto Lula pela justiça social! #LulaNoPrimeiroTurno,Lula, o povo precisa ser incluído no orçamento! onde há justiça social não há necessidade de 'esmola'. voto lula pela justiça social! 
2022-08-01 22:41:57+00:00,1554236017875591169,"@LulaOficial Fanfarrão, mentiroso...",Lula," fanfarrão, mentiroso..."
2022-08-01 22:41:57+00:00,1554236016650772480,"Vou votar no Lula alimentado pela crença de que ele vai começar o discurso dele em 01/01/2023 dizendo ""em primeiro lugar, companheiros e companheiras, gostaria de agradecer ao povo brasileiro e dizer chupa Moro, chupa Bolsonaro, chupa Globo, chupa mídia golpista..."" Eu acredito.",Lula,"vou votar no lula alimentado pela crença de que ele vai começar o discurso dele em 01/01/2023 dizendo ""em primeiro lugar, companheiros e companheiras, gostaria de agradecer ao povo brasileiro e dizer chupa moro, chupa bolsonaro, chupa globo, chupa mídia golpista..."" eu acredito."
2022-08-01 22:41:56+00:00,1554236012083257346,@brasil247 Lula quer fazer igualzinho aqui. https://t.co/gZXaCfioE9,Lula, lula quer fazer igualzinho aqui. 
2022-08-01 22:41:56+00:00,1554236011718316034,"@LulaOficial O que passa na cabeça desses esquerdopatas débeis mentais, acéfalos, retardados, inúteis, preguiçosos, parasitas, doutrinados, alienados, energúmenos, bucéfalos anácronos que não enxergam um palmo adiante do nariz e ficam gritando lula livre?",Lula," o que passa na cabeça desses esquerdopatas débeis mentais, acéfalos, retardados, inúteis, preguiçosos, parasitas, doutrinados, alienados, energúmenos, bucéfalos anácronos que não enxergam um palmo adiante do nariz e ficam gritando lula livre?"
2022-08-01 22:41:56+00:00,1554236011336679435,"@LulaOficial Tá fraco de curtida hem???
Não é o 1 nas pesquisas??",Lula, tá fraco de curtida hem???não é o 1 nas pesquisas??
2022-08-01 22:41:55+00:00,1554236010778836992,"Adorei o que a @madeleinelacsko disse há pouco e vou livre interpretar aqui: o @AndreJanonesAdv é um Levy Fidelix repaginado, pronto a bater em Ciro a pedidos de Lula ""Don King"" da Silva, como um pugilista de estilo 'locável para debates' https://t.co/JjTaf4POWB",Lula,"adorei o que a  disse há pouco e vou livre interpretar aqui: o  é um levy fidelix repaginado, pronto a bater em ciro a pedidos de lula ""don king"" da silva, como um pugilista de estilo 'locável para debates' "
2022-08-01 22:41:55+00:00,1554236010661298189,"Por que vcs da Globo não fala sobre a fome Na África ( AgroAfricano)  ? 
Agua aonde tem seca igual lula fez no Nordeste 
Voces vão para outro país arrumar briga e confusão com quem é assim 
Pq nao usam a Globo pra melhorar a vida Deles ? Agua e Alimento ? 
Canalhas mil vezes",Lula,por que vcs da globo não fala sobre a fome na áfrica ( agroafricano)  ? agua aonde tem seca igual lula fez no nordeste voces vão para outro país arrumar briga e confusão com quem é assim pq nao usam a globo pra melhorar a vida deles ? agua e alimento ? canalhas mil vezes
2022-08-01 22:41:54+00:00,1554236004533506048,@_Bruta_Flor_ @LulaOficial ❤️ https://t.co/cqnHkb4Iml,Lula,  ❤️ 
2022-08-01 22:41:53+00:00,1554236000410402818,"@LulaOficial Sim, vai dar certo ... não vai surgir ninguém para ser o chefe deles.",Lula," sim, vai dar certo ... não vai surgir ninguém para ser o chefe deles."
2022-08-01 22:41:50+00:00,1554235989538775048,"@laderechadiario Cuando regrese Lula Da Silva volverá a imponer esos tributos para ganarse el aplauso del pueblo, con los sobornos respectivos a los empresarios, tal como era costumbre.",Lula," cuando regrese lula da silva volverá a imponer esos tributos para ganarse el aplauso del pueblo, con los sobornos respectivos a los empresarios, tal como era costumbre."
2022-08-01 22:41:47+00:00,1554235975781556230,"@barbrichthofen @Ownerthesea @LulaOficial @ricardostuckert Menina, olha quanto era o salário mínimo na época. Não dá pra comprar! O mundo mudou, tudo inflacionou, ainda mais com a pandemia e uma guerra que está acontecendo. É mesmo assim nosso país cresceu e desenvolveu. Aproveita que vc está a toa e vai estudar. Sério!",Lula,"    menina, olha quanto era o salário mínimo na época. não dá pra comprar! o mundo mudou, tudo inflacionou, ainda mais com a pandemia e uma guerra que está acontecendo. é mesmo assim nosso país cresceu e desenvolveu. aproveita que vc está a toa e vai estudar. sério!"
2022-08-01 22:41:47+00:00,1554235973558468608,"@folha_mercado No tempo de Lula,era $ 84,00 ninguém falava nada agora $ 600 toda mídia reclamar taxa desemprego tá caindo vamos procurar emprego pra não depender de bolsa família.",Lula," no tempo de lula,era $ 84,00 ninguém falava nada agora $ 600 toda mídia reclamar taxa desemprego tá caindo vamos procurar emprego pra não depender de bolsa família."
2022-08-01 22:41:46+00:00,1554235971507560448,"@LulaOficial @ricardostuckert Mentiroso, ladrão, cachaceiro....
#LulaLadraoSeuLugarENaPrisao",Lula,"  mentiroso, ladrão, cachaceiro...."
2022-08-01 22:41:46+00:00,1554235969892646913,"Segundo pesquisas sérias, Bolsonaro derrubará Lula logo no 1o turno e não no 2o.",Lula,"segundo pesquisas sérias, bolsonaro derrubará lula logo no 1o turno e não no 2o."
2022-08-01 22:41:45+00:00,1554235967363588098,@LulaOficial Coitados !!!,Lula, coitados !!!
2022-08-01 22:41:45+00:00,1554235966939955215,Chapa Lula-Alckmin tem tudo para ser o maior monumento à falsificação já construído na política https://t.co/vxU4GBqxlh,Lula,chapa lula-alckmin tem tudo para ser o maior monumento à falsificação já construído na política 
2022-08-01 22:41:45+00:00,1554235966285615105,"@OGlobo_Rio ESSE É O PRESIDENTE QUE A REDE BOBO ACHOU MELHOR QUE DILMA E LULA,VCS MARINHOS TEM SANGUE NAS MÃOS 🤥🤑💩🤥🤑💩",Lula," esse é o presidente que a rede bobo achou melhor que dilma e lula,vcs marinhos tem sangue nas mãos 🤥🤑💩🤥🤑💩"
2022-08-01 22:41:45+00:00,1554235966159822849,"@guimaraes13PT @LulaOficial @geraldoalckmin Deus nos Livre de vocês!
#BolsonaroReeleitoEm2022",Lula,   deus nos livre de vocês!
