Data_Hora,Id_Tweet,Tweet,Candidato,Tweet_limpo
2022-08-01 03:49:13+00:00,1553950956152299520,"@rosana Ciencia,paciencia e inteligencia= CIRO GOMES!",Ciro Gomes," ciencia,paciencia e inteligencia= ciro gomes!"
2022-08-01 03:48:52+00:00,1553950868374011905,@cirogomes Ainda bem que você não perguntou qual delas o Bolsonaro comeu ou roubou,Ciro Gomes, ainda bem que você não perguntou qual delas o bolsonaro comeu ou roubou
2022-08-01 03:48:44+00:00,1553950833292808192,@ReggaeJaahh @cirogomes @CartunistaT Hmmmm ( ͡° ͜ʖ ͡°) https://t.co/vUeJUvek0e,Ciro Gomes,   hmmmm ( ͡° ͜ʖ ͡°) 
2022-08-01 03:48:00+00:00,1553950649561366528,"@mainfluencer13 @Anitta @cirogomes @GabrielaPrioli Ô, gente. Que dó. Anita tem mais seguidores e engajamento do que o Cilo teve em votos em 2018. Mais pé no chão para não passar vergonha, Ciristas.",Ciro Gomes,"    ô, gente. que dó. anita tem mais seguidores e engajamento do que o cilo teve em votos em 2018. mais pé no chão para não passar vergonha, ciristas."
2022-08-01 03:47:58+00:00,1553950639180464129,@Atalmir @cirogomes @GloboNews @jairbolsonaro @LulaOficial No thank you! My vote goes to what I believe is best and not to polls.,Ciro Gomes,     no thank you! my vote goes to what i believe is best and not to polls.
2022-08-01 03:47:46+00:00,1553950590027173889,"@rayzacordeiro_ @OnlyFreedomOrg3 @WemersonLuna @AndreJanonesAdv @cirogomes Que bom que você assistiu. 
Obrigada e sinta-se a vontade para fazer parte da #TurmaBoa 🌹",Ciro Gomes,     que bom que você assistiu. obrigada e sinta-se a vontade para fazer parte da  🌹
2022-08-01 03:47:26+00:00,1553950506900406272,@cirogomes @CartunistaT KKKKKKKKK o desespero humilha,Ciro Gomes,  kkkkkkkkk o desespero humilha
2022-08-01 03:47:20+00:00,1553950483198496768,"Os CÚMPLICES daquele Ano que assinaram o tal Pacto com o Capiroto Cramulhao ( George Soros ) 
FHC ( Fernando Henrique Cardoso ) O Cangaceiro ( Ciro Gomes ) ( #LulaMoluscoNineFingerThief ) assistam o vídeo até o final 🤡💉🚨👇🏽👇🏽👇🏽 https://t.co/UNgHgcLqEZ https://t.co/VlE7zvLaMP",Ciro Gomes,os cúmplices daquele ano que assinaram o tal pacto com o capiroto cramulhao ( george soros ) fhc ( fernando henrique cardoso ) o cangaceiro ( ciro gomes ) (  ) assistam o vídeo até o final 🤡💉🚨👇🏽👇🏽👇🏽  
2022-08-01 03:47:13+00:00,1553950454425468928,@_iiass @cirogomes @CartunistaT Não duvido kkkkkkk,Ciro Gomes,   não duvido kkkkkkk
2022-08-01 03:46:50+00:00,1553950353900457984,"@OnlyFreedomOrg3 @rayzacordeiro_ @WemersonLuna @AndreJanonesAdv @cirogomes Boa pergunta. Só pelo fato dele está disposto a ir a 1 debate já o coloca em 1 posição diferente dos dois principais. Ele tem 1 proposta seria p o BR, taxar as grandes fortunas e governar como  estadista. Se vc tiver interesse, veja o vídeo dele com o @FabioPorchat na globo news.",Ciro Gomes,"     boa pergunta. só pelo fato dele está disposto a ir a 1 debate já o coloca em 1 posição diferente dos dois principais. ele tem 1 proposta seria p o br, taxar as grandes fortunas e governar como  estadista. se vc tiver interesse, veja o vídeo dele com o  na globo news."
